rep	pop	S	n1	next	theta	pi	thetaH	Hprime	tajd	fulif	fulid	fulifs	fulids	rm	rmmg	nhaps	hdiv	wallb	wallq	rosasrf	rosasru	zns	unique	shared	fixed	Fst
1	0	4728	462	449	913.204	1169.35	1301.25	-0.248487	0.958236	1.55271	1.5961	1.42381	1.37197	425	0	91	0.99798	0.158875	0.266074	0.122695	0.122722	0.0276401	946	nan	nan	nan
1	1	6186	986	967	1194.81	1250.37	1315.2	-0.0933705	0.158885	0.467111	0.599284	0.41936	0.503429	589	0	98	0.999596	0.101374	0.172648	0.0994786	0.0995088	0.0156686	2165	3032	0	0.0279324
2	0	4265	413	404	823.776	1033.93	1233.53	-0.416795	0.871431	1.5048	1.59929	1.38538	1.3839	391	0	92	0.998384	0.162758	0.263072	0.120257	0.120277	0.0245404	958	nan	nan	nan
2	1	5680	947	936	1097.08	1171.24	1140.94	0.0475336	0.230975	0.422252	0.461352	0.389184	0.399952	544	0	99	0.999798	0.0961437	0.163732	0.101446	0.101464	0.0152819	2143	2703	0	0.0322771
3	0	4465	493	479	862.406	1071.24	1136.03	-0.129231	0.827226	1.35157	1.39558	1.23478	1.19284	415	0	90	0.997576	0.146729	0.245689	0.118874	0.118903	0.0260548	942	nan	nan	nan
3	1	5811	950	939	1122.38	1168.43	1145.39	0.0353277	0.140181	0.402552	0.513429	0.371011	0.445682	549	0	96	0.999192	0.092599	0.159869	0.0989133	0.0989318	0.0164578	2060	2881	0	0.0309934
4	0	4640	402	396	896.207	1121.88	1120.79	0.00209563	0.860225	1.59422	1.75236	1.47506	1.52795	445	0	92	0.998384	0.121793	0.210345	0.120033	0.120046	0.0226769	981	nan	nan	nan
4	1	5790	997	982	1118.33	1169.6	1210.18	-0.0624451	0.156641	0.330341	0.383062	0.298245	0.322891	561	0	99	0.999798	0.0817067	0.14456	0.0992893	0.0993148	0.0155643	1922	2960	0	0.0268693
5	0	4538	394	385	876.506	1146.48	1238.32	-0.180252	1.05222	1.70991	1.76041	1.5759	1.52524	415	0	89	0.997374	0.161781	0.267298	0.12546	0.125479	0.0261897	932	nan	nan	nan
5	1	6034	1176	1157	1165.45	1253.2	1231.73	0.031693	0.257242	0.162559	0.0227998	0.139457	0.00286722	600	0	100	1	0.0946461	0.165893	0.101906	0.101937	0.0153199	2188	2885	0	0.0372862
6	0	4645	454	443	897.172	1155.88	1190.48	-0.0663534	0.985088	1.56399	1.58939	1.43789	1.37156	453	0	95	0.99899	0.138243	0.229279	0.123453	0.123476	0.0243142	959	nan	nan	nan
6	1	6259	1079	1068	1208.91	1227.45	1218.69	0.0124615	0.052388	0.259775	0.366376	0.240674	0.320158	619	0	100	1	0.0752637	0.131331	0.0963415	0.0963584	0.015157	2281	2986	0	0.0311593
7	0	4366	483	462	843.284	1084.83	1230.66	-0.297473	0.978479	1.45352	1.41919	1.31358	1.18975	391	0	92	0.998182	0.158534	0.260192	0.123145	0.12319	0.0305184	777	nan	nan	nan
7	1	6043	1040	1034	1167.19	1227.89	1248.46	-0.0303264	0.177674	0.327151	0.358641	0.310387	0.324244	583	0	96	0.99899	0.0875538	0.151249	0.0998867	0.0998966	0.0162713	2172	2915	0	0.0460722
8	0	4188	488	466	808.904	1063.31	1080.53	-0.0366276	1.07431	1.45303	1.33032	1.30951	1.10655	400	0	85	0.996566	0.143301	0.237822	0.125796	0.125847	0.0273049	889	nan	nan	nan
8	1	5522	1041	1033	1066.56	1107.86	1103.61	0.00685048	0.132293	0.138208	0.0988689	0.132347	0.0927485	534	0	95	0.998788	0.085854	0.147229	0.0984408	0.0984548	0.01616	2011	2699	0	0.032158
9	0	4284	464	457	827.446	1022.5	1053.32	-0.0640667	0.805243	1.34491	1.40512	1.24262	1.22231	407	0	90	0.997374	0.134485	0.227358	0.118266	0.118281	0.0252878	916	nan	nan	nan
9	1	5706	1077	1067	1102.1	1100.59	1076.6	0.0374477	-0.00469206	0.0600162	0.10008	0.0569545	0.0895141	560	0	98	0.999596	0.0801052	0.141956	0.09457	0.0945861	0.0150373	2112	2770	0	0.0257759
0	0	4307	480	465	831.888	1030.5	1181.28	-0.311797	0.815539	1.33774	1.38422	1.21879	1.17816	393	0	94	0.998586	0.158151	0.257952	0.118533	0.118565	0.0246998	865	nan	nan	nan
0	1	5836	1166	1149	1127.21	1110.44	1173.78	-0.096698	-0.0508445	-0.0673707	-0.0607419	-0.0711556	-0.0661908	556	0	98	0.999596	0.0896315	0.155072	0.093155	0.0931834	0.0151535	2159	2802	0	0.0366214
1	0	4451	346	342	859.702	1100.98	1166.49	-0.131078	0.958747	1.73752	1.89032	1.61093	1.65313	395	0	93	0.998384	0.15191	0.253651	0.122905	0.122914	0.0243891	868	nan	nan	nan
1	1	5978	1114	1097	1154.64	1172.31	1225.97	-0.0799579	0.0523071	0.12846	0.156881	0.109901	0.123342	557	0	99	0.999798	0.0915175	0.159752	0.0962001	0.0962279	0.0148219	2137	2889	0	0.033161
2	0	4369	409	404	843.864	1090.52	1129.9	-0.0802827	0.998482	1.60105	1.63611	1.4835	1.42938	406	0	89	0.997172	0.15522	0.252003	0.123877	0.123888	0.0242626	838	nan	nan	nan
2	1	5872	932	915	1134.16	1170.09	1183.93	-0.0210021	0.108224	0.442929	0.607257	0.398539	0.512848	554	0	99	0.999798	0.0906149	0.153951	0.0980573	0.0980845	0.0160153	2095	2904	0	0.0274647
3	0	4489	392	381	867.041	1099.16	1189.31	-0.17887	0.914517	1.63017	1.75976	1.49756	1.51811	418	0	96	0.999192	0.16533	0.269548	0.121569	0.121591	0.0253023	840	nan	nan	nan
3	1	5990	1124	1118	1156.96	1170.53	1140.26	0.0450172	0.0400813	0.0894152	0.10582	0.0912258	0.10507	580	0	98	0.999596	0.0946736	0.163439	0.0958431	0.0958525	0.014629	2110	3002	0	0.0309749
4	0	4388	478	464	847.533	1082.8	1138.67	-0.113406	0.948255	1.43689	1.42043	1.31329	1.21363	404	0	88	0.997172	0.141555	0.234047	0.122303	0.122334	0.0261832	929	nan	nan	nan
4	1	5716	892	872	1104.03	1174.63	1134.32	0.0628372	0.218492	0.539799	0.660399	0.482447	0.550395	560	0	95	0.99899	0.0908136	0.157103	0.101199	0.101233	0.0160106	2052	2773	0	0.0345666
5	0	4586	470	465	885.777	1116.47	1180.98	-0.125297	0.889709	1.4476	1.49138	1.34245	1.30464	424	0	96	0.999192	0.136314	0.225905	0.12071	0.12072	0.0245307	928	nan	nan	nan
